GQ-Category,hbw1pro,hbw2pro,hbw3pro,hbw4pro,colpro,hsppro,hbopro,schpro,otopro,wtopro
Dorms,0,0,0,0,1.18,0.4,1.24,0,0.7,0.3
Military,0.37,0,0,0,0,0.74,1.09,0,0.53,0.23
Other,0.1,0,0,0,0,0.7,1.49,0.03,0.73,0.31
