record,trip-purpose,kitsap,regional
1,hbw1pro,0.0000,1.1000
2,hbw2pro,0.0000,1.1000
3,hbw3pro,0.0000,1.1000
4,hbw4pro,0.0000,1.1000
5,colpro,0.0000,1.1000
6,hsppro,0.0000,1.1000
7,schpro,0.0000,1.1000
8,hbopro,0.0000,1.1000
9,otopro,0.0000,1.1000
10,wtopro,0.0000,1.1000
11,cvhpro,0.0000,1.0000
12,mtkpro,0.0000,0.7500
13,htkpro,0.0000,1.0000
14,hbw1att,0.1500,1.1000
15,hbw2att,0.1500,1.1000
16,hbw3att,0.1500,1.1000
17,hbw4att,0.1500,1.1000
18,colatt,0.0000,1.1000
19,hspatt,0.1500,1.1000
20,schatt,0.0000,1.1000
21,hboatt,0.1500,1.1000
22,otoatt,0.1500,1.1000
23,wtoatt,0.1500,1.1000
24,cvhatt,0.0000,1.0000
25,mtkatt,0.0000,0.7500
26,htkatt,0.0000,1.0000
